Date,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo
2020-12-24,17.0,127.0,180.0,22.0,50.0,165.0,1347.0,42.0,492.0,421.0,572.0,24.0,212.0,224.0,33.0,96.0,108.0,35.0,52.0,114.0,33.0,81.0,29.0,505.0,17.0,95.0,112.0,2.0,20.0,15.0,0.0,15.0,11.0,9.0
2020-12-25,1.0,105.0,37.0,54.0,60.0,155.0,1733.0,41.0,725.0,1031.0,520.0,23.0,179.0,132.0,89.0,63.0,43.0,5.0,36.0,112.0,32.0,79.0,23.0,327.0,19.0,51.0,280.0,0.0,22.0,7.0,300.0,2.0,31.0,7.0
2020-12-26,6.0,104.0,25.0,16.0,30.0,100.0,2558.0,53.0,678.0,381.0,661.0,0.0,193.0,68.0,75.0,10.0,50.0,18.0,67.0,90.0,0.0,74.0,0.0,504.0,14.0,108.0,192.0,0.0,19.0,62.0,200.0,31.0,1.0,1.0
2020-12-27,0.0,98.0,44.0,64.0,35.0,149.0,1832.0,35.0,1172.0,601.0,592.0,21.0,270.0,123.0,32.0,31.0,12.0,25.0,69.0,72.0,99.0,80.0,1.0,942.0,10.0,99.0,186.0,22.0,4.0,10.0,200.0,11.0,4.0,38.0
2020-12-28,16.0,131.0,21.0,43.0,50.0,107.0,1700.0,39.0,832.0,668.0,693.0,0.0,170.0,181.0,93.0,0.0,75.0,5.0,93.0,23.0,65.0,83.0,112.0,695.0,16.0,73.0,171.0,3.0,120.0,17.0,0.0,1.0,3.0,3.0
2020-12-29,4.0,141.0,101.0,38.0,60.0,295.0,1007.0,36.0,1158.0,794.0,793.0,24.0,238.0,120.0,48.0,97.0,46.0,39.0,89.0,115.0,110.0,82.0,44.0,512.0,45.0,92.0,318.0,202.0,46.0,19.0,58.0,11.0,7.0,16.0
2020-12-30,2.0,107.0,6.0,34.0,75.0,338.0,1574.0,50.0,1208.0,439.0,911.0,37.0,237.0,65.0,120.0,203.0,43.0,60.0,46.0,150.0,126.0,84.0,94.0,421.0,13.0,87.0,112.0,42.0,0.0,29.0,150.0,6.0,69.0,20.0
2020-12-31,9.0,99.0,82.0,55.0,50.0,119.0,1970.0,46.0,1227.0,542.0,757.0,33.0,236.0,120.0,37.0,27.0,62.0,49.0,50.0,132.0,72.0,82.0,91.0,955.0,45.0,140.0,77.0,2.0,22.0,31.0,100.0,10.0,2.0,25.0
2021-01-01,10.0,93.0,16.0,40.0,98.0,112.0,1649.0,36.0,1210.0,570.0,803.0,60.0,206.0,130.0,69.0,118.0,8.0,20.0,106.0,153.0,71.0,89.0,51.0,505.0,104.0,197.0,144.0,0.0,26.0,4.0,123.0,1.0,1.0,16.0
2021-01-02,7.0,128.0,77.0,36.0,70.0,216.0,2267.0,35.0,916.0,924.0,799.0,0.0,235.0,124.0,38.0,48.0,98.0,31.0,78.0,44.0,87.0,82.0,11.0,847.0,33.0,6.0,128.0,8.0,33.0,33.0,109.0,1.0,3.0,30.0
